Registry,Assignment,Organization Name,Organization Address
CID,8A34BC,Fiberworks AS,Ryensvingen 15 Oslo  NO 0680 
CID,CAC87E,Allen Organ Company,150 LOCUST ST MACUNGIE PA US 18062 
CID,FA073E,NBASE-T Alliance,3855 SW 153rd Drive Beaverton OR US 97003 
CID,FA556F,SymbolicIO,379 Thornall Edison NJ US 08837 
CID,7A4BA4,Innostor Technology Corporation,"2F., No. 8, Ln32, Xianzheng 5th St., Jhubei City, Hsinchu Country 30268, Taiwan Jhubei Hsinchu TW 30268 "
CID,6AE64A,S&O Electronics (Malaysia) Sdn. Bhd.,Lot 202 Sungai Petani Kedah MY 08000 
CID,EA34B4,ThinkRF Inc.,"390 March Rd., Suite 110 Ottawa Ontario CA K2K 0G7 "
CID,FA63E1,Samsung Electronics (UK) Ltd,"Communications House, South Street Staines-Upon-Thames Middlesex GB TW18 4QE "
CID,EAE0D9,Berk-tek LLC,132 white oak rd new holland PA US 17557 
CID,FA1466,Allegion PLC,500 Golden Ridge Rd Ste 160 Golden CO US 80401-9553 
CID,8AB3DA,"HomePlug Powerline Alliance, Inc.","10260 SW Greenburg Road, Suite 400 Portland OR US 97223 "
CID,DA1C21,Sesam GmbH,Finsterbachstrasse 1 Merching  DE 86504 
CID,EABEA7,Private,
CID,DAC87D,SE Development AB,Box 2096 Karlstad  SE 650 02 
CID,BAA2D0,Wireless Broadband Alliance Ltd,3 Tai Seng Dr #04-01 Singapore  SG 535216 
CID,8AFB16,"TeraByte, Inc.",10220 Lazy Bear St Las Vegas NV US 89131 
CID,CAE505,Mobilitie,2220 University Dr Newport Beach  US 92660 
CID,FAE190,IN WIN DEVELOPMENT INC.,"NO.57,LANE 350, NANSHANG ROAD, GUEISHAN HSIANG, TAOYUAN HSIEN, TW 333 "
CID,8A00B0,"Eoptolink Technology Inc. Ltd,",No.127 West Wulian Street Chengdu China/Sichuan CN 610213 
CID,3ABA37,Cirrent,1810 Barroilhet Burlingame CA US 94010 
CID,7AAB77,Orange,4 rue du Clos Courtel Cesson Sevigne France FR 35512 
CID,DAA119,"Google, Inc.",1600 Amphitheatre Parkway Mountain View CA US 94043 
CID,6A737D,25G Ethernet Consortium,3855 SW 153rd Dr Beaverton OR US 97003 
CID,FA4C77,OCCITALINE,Allée du Quercy COLOMIERS  FR 31770 
CID,2AFD6A,Charter Communications,6399 S. Fiddler's Green Circle Greenwood Village CO US 80111 
CID,FA610E,"Laboratory for Computational Sensing and Robotics, Johns Hopkins University",3400 North Charles Street Baltimore MD US 21218 
CID,DA28EC,HG Genuine,"HUST Science & Technology Park, East Lake High-Tech Development Zone Wuhan Hubei CN 430223 "
CID,3A0292,Video Electronics Standards Association,"1754 Technology Dr., Suite 238 San Jose CA US 95110 "
CID,FA1619,trendytech,"No.303 Hanzhongmen Street, 6th Floor Block  Nanjing  CN 210036 "
CID,8AA5C1,Ranovus USA,465 Fairchild Dr #109 Mountain View CA US 94043 
CID,5AE660,nyantec GmbH,Europaplatz 2 Berlin  DE 10557 
CID,3ACFC5,Quickline AG,Dr. Schneider-Strasse 16 Nidau  CH 2560 
CID,FABA85,"APAT Optoelectronics Components Co., Ltd.","2-1503, COFCO Biz Park,Liuxian 2nd Rd., Baoan District, Shenzhen Shenzhen  CN 518101 "
CID,BAC485,Fraunhofer IIS,Am Wolfsmantel 33 Erlangen Bayern DE 91058 
CID,3A78CA,SoundTalks NV,Ambachtenlaan 1 Heverlee  BE 3001 
CID,7AFD44,Rosenberger Hochfrequenztechnik GmbH & Co. KG,Hauptstrasse 1 Fridolfing  DE 83413 
CID,2AEA15,Tibit Communications,"1 Willowbrook Court, Suite 150 Petaluma CA US 94954 "
CID,AA548B,Tintri,303 Ravendale Dr Mountain View CA US 94070 
CID,3AA3F8,IEEE 802.1 Working Group,445 Hoes Lane Piscataway NJ US 08554 
CID,4A07D6,IEEE 802.1 Working Group,445 Hoes Lane Piscataway NJ US 08554 
CID,BA55EC,IEEE 802.15,445 Hoes Lane  Piscataway NJ US 08854-4141 
CID,6AB6F2,Eli Technology Inc,"380 Bedford Hwy, Suite 307 Bedford NS CA  B3M 2L4 "
CID,FAF9C0,RAID Incorporated,200 Brickstone Square Andover MA US 01810 
CID,9AD263,"FirmTek, LLC",29300 Kohoutek Way Union City California US 94587 
CID,9A564B,Cubix Corporation,2800 Lockheed Way Carson City Nevada US 89706 
CID,1A75FB,AUTOSAR,c/o Altran GmbH & Co. KG Munich  DE 80636 
CID,9AADCA,Credo,"1900 McCarthy Blvd, Suite 420 Milpitas CA US 95035 "
CID,8ADA26,Eleven Inc.,"315 SW 11th Ave, 3rd Floor Portland OR US 97205 "
CID,FAE51A,RSAE Labs Inc,400 E 16th St Panama City FL US 32405 
CID,CA8FA5,"Advanced TS Migrations, Co",PO BOX 478 ELLENTON FL US 34222 
CID,FA94F1,IEEE 802.1 Working Group,445 Hoes Lane Piscataway NJ US 08554 
CID,AA38C7,Kaloom inc,"355 Peel street, suite 403 Montreal Quebec CA H3C 2G9 "
CID,FA2EE9,"OCA Alliance, Inc.",23117 39th Ave SE Bothell WA US 98021 
